duration,protocol,src_bytes,dst_bytes,flag,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate, Label
102,icmp,17136,4035,SF,0,0,0,1,3,1,8,0,0,3,2,4,0,1,0,61,23,0.2668141487415848,0.44582777078338365,0.042775437915374526,0.8122928393629024,0.48297979039758865,0.9524645215076497,0.6259220743810219,213,231,0.6018311705386353,0.6059528463443079,normal
435,udp,10661,15127,REJ,1,2,0,3,4,0,6,1,1,0,0,2,0,1,1,59,38,0.7730562115461422,0.03081505998730505,0.9197980996247527,0.7873424698010864,0.053960658041326215,0.7362761989619165,0.3247159043110889,195,146,0.0857821545054499,0.7345890144100874,normal
348,udp,1392,2899,S0,0,1,2,4,0,1,2,1,1,4,0,3,0,0,1,97,46,0.9485150012507841,0.15059360052797344,0.561294691462122,0.37059626324825545,0.4302969336977238,0.3128234854529245,0.6263095145348354,127,247,0.8277606870710832,0.3383704372442139,attack
270,icmp,6789,9638,REJ,1,0,2,1,3,0,5,0,1,9,1,1,0,1,0,15,60,0.9301322089969728,0.29048117948506225,0.10234096149846805,0.9356592126878629,0.8026956364479408,0.40693296960684966,0.1450303487481046,237,95,0.6790638000782997,0.5350204920649917,normal
106,icmp,14385,13222,SF,1,0,0,3,4,1,4,1,0,8,2,3,0,1,0,6,97,0.12500023246398828,0.7037547019371254,0.15274849116933142,0.015758649443774586,0.16145740882274062,0.7888978920406275,0.22540625941630865,151,201,0.637742544340257,0.03555995902720277,normal
71,udp,17061,17296,S0,1,1,2,2,2,0,8,0,0,0,1,3,0,0,0,76,28,0.05467223920654729,0.7372923247986737,0.6893311718156173,0.4507890601572673,0.7644776859252039,0.6988214107928354,0.014684266030589255,252,218,0.1727102426046242,0.1623029759097242,attack
188,tcp,105,4242,SF,1,2,0,4,0,0,2,0,1,6,0,1,0,0,0,67,97,0.7769816399166084,0.21302520315384965,0.6084534602104292,0.907525369926923,0.37421563119445755,0.6095157078093527,0.18448800785014197,157,22,0.5460327724499058,0.8564003424344617,normal
20,icmp,11479,18095,REJ,1,2,1,1,2,1,1,0,1,1,1,4,0,1,0,94,19,0.7099617122642987,0.6485555315260665,0.16745646947605453,0.696006100211338,0.027061711983730308,0.8647176734882764,0.13072257230225248,42,55,0.25548244558759503,0.6560512342516822,normal
102,tcp,1946,1439,SF,1,1,2,2,2,0,1,0,0,9,0,4,0,1,0,73,4,0.17617247702018446,0.031827368387106536,0.904331088007096,0.7039916751760776,0.9532078491262416,0.31240919695227076,0.5980972623024551,64,190,0.9325018270871254,0.8280185006889034,attack
121,icmp,5544,5613,REJ,1,2,0,3,0,0,3,0,0,8,0,1,0,1,1,11,35,0.6845673333709928,0.1028529251509731,0.13290393325772676,0.15647045698362083,0.18135771390488942,0.21125618635438015,0.9443806960134229,82,244,0.46675534433083066,0.5610811289863764,normal
466,tcp,17479,5375,REJ,1,0,0,1,4,1,0,1,0,3,1,3,0,1,1,97,93,0.015487865894023845,0.5350106749412287,0.5115735860539606,0.582055662221046,0.3347684372287496,0.40978410890735917,0.2153658733279512,27,51,0.30749103190403804,0.4322105247500885,normal
214,tcp,13275,8877,S0,1,2,0,3,0,1,8,0,0,2,2,0,0,0,0,91,61,0.6311620848425216,0.7038236398861675,0.5282943427515069,0.9669489733970111,0.4807278179046379,0.007469231805386944,0.12931267199236984,179,191,0.9506777646985595,0.8151302845549565,attack
330,tcp,6985,2466,S0,0,0,2,3,1,1,2,1,0,6,1,2,0,1,0,4,49,0.8323055559011369,0.9143672572687407,0.8705023566061649,0.21154784530107673,0.9494432202081844,0.5072863639724781,0.5352853877798291,15,232,0.2056969930767446,0.047157940780059304,attack
458,udp,1782,7824,SF,1,2,2,3,2,0,4,0,1,5,2,2,0,0,1,91,19,0.6418390009055488,0.4377524762869629,0.022150215987903232,0.32718098625262715,0.5811676613151419,0.3652319892222472,0.18107735144878723,246,145,0.4929321716929681,0.6866553350438996,attack
87,tcp,19641,12329,REJ,0,0,1,4,1,0,1,0,1,9,1,2,0,0,0,46,10,0.06539642073935881,0.11995306084869317,0.13645170090788883,0.38862229016770833,0.9053409204752776,0.13193102091317988,0.5416388241549261,148,98,0.17083943705585658,0.6094424171322955,normal
372,tcp,6213,11630,REJ,1,1,2,2,0,1,7,0,0,7,1,0,0,0,0,10,84,0.9909723706649283,0.9289766308644954,0.1706786800543738,0.3598878072306392,0.5644652011549733,0.8754858536553798,0.5044537051816822,49,177,0.09430896633023833,0.0356470909732719,attack
99,tcp,14485,17349,S0,0,0,2,2,0,0,2,1,0,8,1,3,0,1,0,33,19,0.3560914791332198,0.4374376852945838,0.06288139752480404,0.6270496907390825,0.20539581945974483,0.1944147542810909,0.01941070081463292,168,140,0.051926260992757434,0.3356266067652366,normal
359,icmp,15605,14203,S0,1,2,2,0,4,0,4,0,0,6,0,4,0,0,1,78,5,0.3804781915554206,0.4974731006455544,0.6314832840909547,0.23457354320012058,0.5643716772072527,0.7059643581580445,0.964342633378333,122,65,0.015709829482176696,0.5184384847696465,normal
151,tcp,4869,6928,S0,1,0,1,1,2,0,6,1,0,5,1,1,0,1,0,50,44,0.08475133730803741,0.8544295044031701,0.22959986070314797,0.5056895366765668,0.10044441090050793,0.7057228001354852,0.20140712559170038,31,163,0.7094288128789196,0.03248292041649237,normal
130,icmp,17945,9111,S0,1,2,1,3,3,1,1,1,0,7,0,2,0,1,1,4,25,0.1671176816619362,0.5857796936059294,0.5766698345603726,0.40023912488510716,0.11705889451972673,0.04259002038625359,0.8948371347136838,64,149,0.38788094380193583,0.3080307985681312,normal
149,tcp,9867,8120,SF,0,2,1,1,0,1,2,1,0,8,0,0,0,1,1,47,22,0.27117579351541077,0.301450254778343,0.7826122035924328,0.6444805691127976,0.11566517186934977,0.42764144079292443,0.38307939793547974,121,126,0.9219154467292904,0.014853864203876355,normal
308,tcp,3981,11064,SF,0,0,2,2,3,1,7,0,0,7,0,1,0,1,1,84,4,0.7992023695299788,0.5407804377344757,0.408528493289268,0.24194090266397184,0.012252741321075789,0.47637539593409595,0.1583760727324306,65,83,0.6265842880263162,0.2718330136991768,normal
257,udp,9493,17892,SF,1,2,0,2,2,1,9,1,0,5,1,3,0,1,0,30,24,0.6917488078194305,0.6248610977650779,0.7688502743300797,0.5531247523725314,0.15128672070338423,0.8175227566293414,0.10678447669231372,112,134,0.8067944354029564,0.9774815807297041,normal
343,icmp,5682,9404,SF,0,1,2,3,1,0,7,0,1,7,1,0,0,0,0,39,92,0.5836488297641262,0.8897998896061664,0.7778685506436234,0.7403661793325624,0.3529788817117291,0.6244425449253805,0.510679949164324,59,139,0.28250921294652587,0.45362921911884757,normal
491,tcp,5782,871,S0,1,2,1,4,2,1,2,0,0,8,1,0,0,1,0,6,3,0.863893214548839,0.23483447148422343,0.26342306574065766,0.6929549907074958,0.0721162881156805,0.06332298918624679,0.36184753984411,158,78,0.21272078357505197,0.9495237660075384,normal
413,icmp,17327,12582,SF,0,1,2,3,4,1,9,0,1,5,1,1,0,1,0,98,90,0.9978051900130605,0.5593790306132187,0.015744597403064886,0.8342795351345028,0.006162872564243749,0.448770090046969,0.9175075107110231,145,92,0.4441738537252419,0.8041695692284293,normal
293,icmp,9137,863,SF,0,1,2,3,3,0,6,0,1,5,0,1,0,1,1,84,9,0.3847744582159668,0.9204990385888598,0.10328185320633232,0.9561605388437622,0.11227182068826347,0.3008546518067301,0.20144149480317253,109,239,0.8274598964957284,0.2622044698248893,attack
385,udp,16984,14883,SF,0,2,0,0,3,1,1,0,0,1,2,2,0,1,0,39,33,0.39122342799138765,0.04547279053109665,0.823523740170793,0.8539688298058484,0.9360580318151402,0.17094792292186578,0.7236453278775635,106,135,0.47917269410620533,0.9367385803394338,normal
191,udp,13012,12145,S0,1,1,0,4,1,0,8,0,0,8,2,3,0,0,0,68,90,0.7360893755328096,0.19456781283601288,0.40530731501412387,0.9382052608316211,0.5256377149779442,0.27604288797142784,0.18579094694124632,144,150,0.5503667373882765,0.30009069262819665,normal
443,udp,1524,3055,REJ,0,1,2,1,1,0,7,1,1,7,0,1,0,1,0,13,57,0.6443488277075152,0.3463149143816623,0.8390960161184698,0.017509132429561647,0.4350235915491051,0.8402220332319174,0.8717062677133919,111,115,0.35854792630490073,0.3452939540281639,normal
276,udp,16634,12186,S0,0,0,1,4,0,0,8,0,0,4,0,2,0,0,0,97,7,0.013393447900397315,0.6784683995688591,0.5475143203468078,0.6289314557726513,0.48715728431280103,0.6199981823007646,0.5104556143949414,7,140,0.592388702763595,0.3033605034479976,normal
160,udp,78,2682,REJ,1,1,2,3,2,0,8,0,0,9,2,2,0,1,1,9,51,0.6554273047345044,0.8418472721548969,0.19739538772171028,0.2677256790588808,0.5548085577848297,0.43542375353549845,0.831202818459185,9,96,0.5056136921292828,0.44226936364366964,normal
459,udp,3123,12882,REJ,1,1,2,3,4,0,6,1,0,2,2,1,0,0,1,81,98,0.7196083899631894,0.19917084883869174,0.7122372570940032,0.8089953177335978,0.10783116546338667,0.7204873119088596,0.437511577186379,187,132,0.46247815555044813,0.073646443632844,attack
313,udp,7064,5278,SF,0,1,2,3,0,1,3,1,1,8,2,0,0,0,1,80,27,0.9859365920753632,0.24670447803245477,0.5581863426325874,0.819037981340695,0.5847565149129728,0.9682224561211661,0.17525005688557727,54,82,0.5488078516071593,0.8163305471230035,normal
21,udp,13068,13805,SF,0,1,1,3,2,0,4,0,0,9,2,0,0,0,1,48,8,0.5867710026453947,0.8232854362251015,0.35180521214714555,0.047768684436956366,0.8342233752154345,0.92716531040428,0.5393305188998571,96,6,0.4187764286904091,0.08192417282084419,attack
252,tcp,8417,16997,SF,1,1,1,3,1,1,6,0,1,6,2,0,0,1,1,95,33,0.6844178110941063,0.14834350657459794,0.08771699544953038,0.5955552467021432,0.5606453120074646,0.09685533281500491,0.2725498905381598,59,67,0.7874340379118332,0.47857977878416635,normal
235,icmp,13362,1872,S0,1,2,1,4,4,1,4,1,0,8,1,2,0,0,1,16,58,0.7887477052745633,0.26117694257836477,0.10229835615644034,0.8508821182365937,0.8830476558391444,0.3322792735857245,0.1846204650199066,234,121,0.06807178811868408,0.06947906698643569,normal
344,udp,1209,11346,S0,1,1,1,3,1,0,9,1,0,6,2,0,0,1,0,85,93,0.09595962056739515,0.7326935859111595,0.18851161414637874,0.5874133813308977,0.1382302107562423,0.31312744697547157,0.9037818903019961,79,100,0.354147567926257,0.6547807191627529,normal
48,udp,5153,7723,SF,1,2,1,2,1,0,7,0,1,7,1,3,0,0,0,88,16,0.7346521759088477,0.16615879495954322,0.6729311192575993,0.4255400644440168,0.8258863386813432,0.5538471887639769,0.5514410765055757,238,136,0.7532124514868281,0.45020811648766335,normal
474,icmp,4898,13871,S0,1,2,2,2,3,1,4,1,1,9,1,0,0,1,1,50,32,0.5468657139087001,0.8280335246848868,0.7279714221161645,0.0767799139202997,0.6626143051148787,0.09041342300415645,0.8003121902341322,238,18,0.3656251836257285,0.0011330142483040317,normal
